,Classifieur,Echantillon,Selection Variable,Performance,Temps_execution
0,RandomForest,100000,NoProcessing,0.0,14.04144287109375
1,XGBRFClassifier,100000,NoProcessing,0.0,3.2442328929901123
2,GradientBoostingClassifier,100000,NoProcessing,0.028,13.152454137802124
3,AdaBoostClassifier,100000,NoProcessing,0.0,4.225123167037964
4,RandomForest,100000,SelectFromModel,0.0,12.617944955825806
5,XGBRFClassifier,100000,SelectFromModel,0.0,2.687782049179077
6,GradientBoostingClassifier,100000,SelectFromModel,0.015,11.409612894058228
7,AdaBoostClassifier,100000,SelectFromModel,0.0,3.717725992202759
8,RandomForest,100000,Variance,0.0,15.698203802108765
9,XGBRFClassifier,100000,Variance,0.0,4.26199197769165
10,GradientBoostingClassifier,100000,Variance,0.0153,12.267358303070068
11,AdaBoostClassifier,100000,Variance,0.0,4.053065061569214
12,RandomForest,380000,NoProcessing,0.0,63.279722929000854
13,XGBRFClassifier,380000,NoProcessing,0.0,8.797112941741943
14,GradientBoostingClassifier,380000,NoProcessing,0.0018,49.800578117370605
15,AdaBoostClassifier,380000,NoProcessing,0.0,11.791637897491455
16,RandomForest,380000,SelectFromModel,0.0,53.07960391044617
17,XGBRFClassifier,380000,SelectFromModel,0.0,7.352277040481567
18,GradientBoostingClassifier,380000,SelectFromModel,0.0144,42.58796525001526
19,AdaBoostClassifier,380000,SelectFromModel,0.0,10.047856330871582
20,RandomForest,380000,Variance,0.0,61.35594201087952
21,XGBRFClassifier,380000,Variance,0.0,8.852478981018066
22,GradientBoostingClassifier,380000,Variance,0.0169,45.82306528091431
23,AdaBoostClassifier,380000,Variance,0.0,10.899703979492188
24,RandomForest,999999,NoProcessing,0.0,196.39794421195984
25,XGBRFClassifier,999999,NoProcessing,0.0,21.795058250427246
26,GradientBoostingClassifier,999999,NoProcessing,0.0486,141.85551381111145
27,AdaBoostClassifier,999999,NoProcessing,0.0,30.625260829925537
28,RandomForest,999999,SelectFromModel,0.0,182.76698279380798
29,XGBRFClassifier,999999,SelectFromModel,0.0,16.946096181869507
30,GradientBoostingClassifier,999999,SelectFromModel,0.0158,120.22656583786011
31,AdaBoostClassifier,999999,SelectFromModel,0.0,25.719700813293457
32,RandomForest,999999,Variance,0.0,224.8849241733551
33,XGBRFClassifier,999999,Variance,0.0,21.61167311668396
34,GradientBoostingClassifier,999999,Variance,0.0171,129.11274600028992
35,AdaBoostClassifier,999999,Variance,0.0,27.6527738571167
